#param, sd.noise, mean.vp.estimate, sd.vp.estimate, relative.uncertainty, bias 
100 , 0.01 , 46.16579 , 6.170762 , 13.36652 , 0.6535861 
250 , 0.01 , 45.27949 , 3.874692 , 8.55728 , -0.3542703 
250 , 0.01 , 45.50717 , 3.952608 , 8.685681 , 0.1004279 
250 , 0.01 , 45.55048 , 4.004729 , 8.791848 , 0.006072103 
250 , 0.01 , 45.18817 , 3.393925 , 7.510651 , -0.3145479 
250 , 0.01 , 45.23236 , 3.53548 , 7.816262 , -0.3573191 
250 , 0.01 , 46.06741 , 4.184323 , 9.083043 , 0.5887063 
250 , 0.01 , 45.80322 , 3.399116 , 7.42113 , 0.2528723 
250 , 0.01 , 45.08342 , 3.778459 , 8.381039 , -0.4727077 
250 , 0.01 , 44.86693 , 3.40881 , 7.5976 , -0.6726159 
250 , 0.01 , 45.54122 , 3.611401 , 7.929962 , -0.05942163 
500 , 0.01 , 45.52471 , 2.724395 , 5.984432 , 0.04990599 
500 , 0.01 , 45.32151 , 2.198416 , 4.850712 , -0.1617263 
500 , 0.01 , 45.77926 , 2.507986 , 5.478432 , 0.2585331 
500 , 0.01 , 45.54195 , 2.663085 , 5.847543 , -0.114811 
500 , 0.01 , 45.36227 , 2.837695 , 6.255628 , -0.1073842 
500 , 0.01 , 45.26793 , 2.628805 , 5.807212 , -0.2555654 
500 , 0.01 , 45.56236 , 2.344725 , 5.146189 , -0.0004137501 
500 , 0.01 , 46.18969 , 2.526082 , 5.468929 , 0.635727 
500 , 0.01 , 45.75913 , 2.328969 , 5.089628 , 0.1999658 
500 , 0.01 , 45.67388 , 2.689227 , 5.887888 , 0.1061558 
750 , 0.01 , 45.40658 , 1.937659 , 4.267354 , -0.2032582 
750 , 0.01 , 45.29372 , 1.865281 , 4.118188 , -0.2052117 
750 , 0.01 , 45.95909 , 1.944096 , 4.230057 , 0.3659195 
750 , 0.01 , 45.80166 , 2.106341 , 4.598832 , 0.2142144 
750 , 0.01 , 45.79447 , 2.138854 , 4.67055 , 0.2288321 
750 , 0.01 , 45.39133 , 2.197793 , 4.84188 , -0.1157198 
750 , 0.01 , 45.85502 , 2.277599 , 4.966957 , 0.2911218 
